name	n_gt	n_pred	n_matched	success	success_rate	recall	eer_mean	ed_mean	ed_median	ed_p90	ed_p95	ed_max
SSI-EC R1	11710	45433	9535	0	0.0	0.8142613151152861	0.6009585857391357	60.095855712890625	60.0	65.0	66.0	77.0
SSI-EC R2	11710	43580	9470	0	0.0	0.8087105038428694	0.643536388874054	64.35364532470703	64.0	69.0	71.0	80.0
SSI-EC R3	11710	42320	9425	0	0.0	0.804867634500427	0.6649792790412903	66.49793243408203	66.0	71.0	73.0	81.0
